# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	UPGMAID
#
1080	60	agní	agní	əɡniː	Sanskrit	623	ə ɡ n iː	7 1 4 7	XBCZ	EKNI	15	15.E.V 15.K.C 15.N.C 15.I.V	1.5 1.75 1.5 0.8	0	15
1081	60	agní	aggi	əɡgi	Pali	630	ə ɡ g i	7 1 1 7	XMBZ	EKKI	12	12.E.V 12.K.c 12.K.C 12.I.V	1.5 1.1 1.75 0.8	0	12
1082	60	agní	āg	ɑːɡ	Hindi	27	ɑː ɡ	7 1	XN	AK	6	6.A.V 6.K.c	1.5 0.8	0	3
1083	60	agní	āg	ɑːɡ	Urdu	27	ɑː ɡ	7 1	XN	AK	18	18.A.V 18.K.c	1.5 0.8	0	3
1084	60	agní	āgo	äɡo	Nepali	27	ä ɡ o	7 1 7	XBZ	AKU	10	10.A.V 10.K.C 10.U.V	1.5 1.75 0.8	0	3
1085	60	agní	āg	ɑːɡ	Bhojpuri	623	ɑː ɡ	7 1	XN	AK	3	3.A.V 3.K.c	1.5 0.8	0	3
1086	60	agní	agga	bɑːʱi	Punjabi	27	b ɑːʱi	1 7	AX	PA	13	13.P.C 13.A.V	2.0 1.5	0	13
1087	60	agní	āga	ɑːɡa	Gujarati	27	ɑː ɡ a	7 1 7	XBZ	AKA	5	5.A.V 5.K.C 5.A.V	1.5 1.75 0.8	0	3
1088	60	agní	āg	ɑːɡ	Marathi	27	ɑː ɡ	7 1	XN	AK	9	9.A.V 9.K.c	1.5 0.8	0	3
1089	60	agní	ujo	uːzɔː	Konkani	334	uː z ɔː	7 3 7	XBZ	YSU	8	8.Y.V 8.S.C 8.U.V	1.5 1.75 0.8	0	1
1090	60	agní	zui	zui	Assamese	334	z ui	3 7	AX	SY	1	1.S.C 1.Y.V	2.0 1.5	0	1
1091	60	agní	agun	aɡun	Bengali	-4	a ɡ u n	7 1 7 4	XBYN	AKYN	2	2.A.V 2.K.C 2.Y.V 2.N.c	1.5 1.75 1.3 0.8	0	2
1092	60	agní	niam̐	niam̐	Oriya	673	n ia m̐	4 7 4	AXN	NIM	11	11.N.C 11.I.V 11.M.c	2.0 1.5 0.8	0	11
1093	60	agní	None	None	Kashmiri	627	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	7
1094	60	agní	gini	gini	Sinhalese	-2	g i n i	1 7 4 7	AXBZ	KINI	17	17.K.C 17.I.V 17.N.C 17.I.V	2.0 1.5 1.75 0.8	0	15
1095	60	agní	alifān̊	əlifəːn	Dhivehi	531	ə l i f əː n	7 5 7 3 7 4	XBYBYN	ELIBEN	4	4.E.V 4.L.C 4.I.V 4.B.C 4.E.V 4.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	4
1096	60	agní	jag	dʒæɡ	Romani	27	d ʒ æ ɡ	1 3 7 1	ACXN	TSEK	14	14.T.C 14.S.C 14.E.V 14.K.c	2.0 1.5 1.5 0.8	0	14
#
1	0	ahám	ahám	ɐɦɐm	Sanskrit	9	ɐ ɦ ɐ m	7 3 7 4	XBYN	EHEM	15	15.E.V 15.H.C 15.E.V 15.M.c	1.5 1.75 1.3 0.8	0	18
2	0	ahám	ahaṃ	ˌɑˈhɑṃ	Pali	8	ˌɑ ˈh ɑ ṃ	7 3 7 4	XBYN	AHAM	12	12.A.V 12.H.C 12.A.V 12.M.c	1.5 1.75 1.3 0.8	0	18
3	0	ahám	ma͠i	mɛː	Hindi	41	m ɛː	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	16
4	0	ahám	ma͠i	mɛː	Urdu	41	m ɛː	4 7	AX	ME	18	18.M.C 18.E.V	2.0 1.5	0	16
5	0	ahám	ma	mə	Nepali	41	m ə	4 7	AX	ME	10	10.M.C 10.E.V	2.0 1.5	0	16
6	0	ahám	ham	ˈhəm	Bhojpuri	2	ˈh ə m	3 7 4	AXN	HEM	3	3.H.C 3.E.V 3.M.c	2.0 1.5 0.8	0	18
7	0	ahám	maĩ	mɛː	Punjabi	41	m ɛː	4 7	AX	ME	13	13.M.C 13.E.V	2.0 1.5	0	16
8	0	ahám	āū̃,	ɑːũː	Sindhi	41	ɑːũː	7	X	A	16	16.A.V	1.5	0	31
9	0	ahám	hũ	None	Gujarati	41	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	0	20
10	0	ahám	mī,	mi	Marathi	41	m i	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	0	16
11	0	ahám	hā̃v	ɦɑːʋ	Konkani	41	ɦ ɑː ʋ	3 7 6	AXN	HAW	8	8.H.C 8.A.V 8.W.c	2.0 1.5 0.8	0	23
12	0	ahám	moi	mɔɪ	Assamese	41	m ɔɪ	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	0	16
13	0	ahám	ami	ami	Bengali	41	a m i	7 4 7	XBZ	AMI	2	2.A.V 2.M.C 2.I.V	1.5 1.75 0.8	0	16
14	0	ahám	mum̐	mũ	Oriya	41	m ũ	4 7	AX	MY	11	11.M.C 11.Y.V	2.0 1.5	0	16
15	0	ahám	bụ	bɨ	Kashmiri	6	b ɨ	1 7	AX	PI	7	7.P.C 7.I.V	2.0 1.5	0	22
16	0	ahám	mama,	ˈmɑmə	Sinhalese	41	ˈm ɑ m ə	4 7 4 7	AXBZ	MAME	17	17.M.C 17.A.V 17.M.C 17.E.V	2.0 1.5 1.75 0.8	0	16
17	0	ahám	aharen̊‎,	əhəɾen	Dhivehi	41	ə h ə ɾ e n	7 3 7 5 7 4	XBYBYN	EHEREN	4	4.E.V 4.H.C 4.E.V 4.R.C 4.E.V 4.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	19
18	0	ahám	me	miː	Romani	41	m iː	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	0	16
#
558	31	aṇḍá	aṇḍá	aɳḍā	Sanskrit	503	a ɳ ḍ ā	7 4 1 7	XMBZ	ANTA	15	15.A.V 15.N.c 15.T.C 15.A.V	1.5 1.1 1.75 0.8	0	34
559	31	aṇḍá	aṇḍa	aɳḍɑː	Pali	501	a ɳ ḍ ɑː	7 4 1 7	XMBZ	ANTA	12	12.A.V 12.N.c 12.T.C 12.A.V	1.5 1.1 1.75 0.8	0	34
560	31	aṇḍá	aṇḍā	əɳɖɑː	Hindi	24	ə ɳ ɖ ɑː	7 4 1 7	XMBZ	ENTA	6	6.E.V 6.N.c 6.T.C 6.A.V	1.5 1.1 1.75 0.8	0	34
561	31	aṇḍá	anḍā	None	Urdu	24	N o n e	0 7 4 7	AXBZ	0UNE	18	18.0.C 18.U.V 18.N.C 18.E.V	2.0 1.5 1.75 0.8	0	49
562	31	aṇḍá	phul,	əɳɖɑ	Nepali	24	ə ɳ ɖ ɑ	7 4 1 7	XMBZ	ENTA	10	10.E.V 10.N.c 10.T.C 10.A.V	1.5 1.1 1.75 0.8	0	34
563	31	aṇḍá	aṇḍā	əɳɖɑː	Bhojpuri	497	ə ɳ ɖ ɑː	7 4 1 7	XMBZ	ENTA	3	3.E.V 3.N.c 3.T.C 3.A.V	1.5 1.1 1.75 0.8	0	34
564	31	aṇḍá	iṅgā	iɳgɑː	Punjabi	24	i ɳ g ɑː	7 4 1 7	XMBZ	INKA	13	13.I.V 13.N.c 13.K.C 13.A.V	1.5 1.1 1.75 0.8	0	44
565	31	aṇḍá	āno	ɑːno	Sindhi	24	ɑː n o	7 4 7	XBZ	ANU	16	16.A.V 16.N.C 16.U.V	1.5 1.75 0.8	0	45
566	31	aṇḍá	ī̃ḍũ	ī̃ḍũ	Gujarati	24	ī̃ ḍ ũ	7 1 7	XBZ	ITY	5	5.I.V 5.T.C 5.Y.V	1.5 1.75 0.8	0	36
567	31	aṇḍá	aṇḍe	əɳɖe	Marathi	24	ə ɳ ɖ e	7 4 1 7	XMBZ	ENTE	9	9.E.V 9.N.c 9.T.C 9.E.V	1.5 1.1 1.75 0.8	0	34
568	31	aṇḍá	tātī,	tɑːtiː	Konkani	-4	t ɑː t iː	1 7 1 7	AXBZ	TATI	8	8.T.C 8.A.V 8.T.C 8.I.V	2.0 1.5 1.75 0.8	0	39
569	31	aṇḍá	koni	kɔni	Assamese	304	k ɔ n i	1 7 4 7	AXBZ	KUNI	1	1.K.C 1.U.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	0	32
570	31	aṇḍá	ḍim	dim	Bengali	304	d i m	1 7 4	AXN	TIM	2	2.T.C 2.I.V 2.M.c	2.0 1.5 0.8	0	33
571	31	aṇḍá	ôṇḍa	ɔɳɖa	Oriya	304	ɔ ɳ ɖ a	7 4 1 7	XMBZ	UNTA	11	11.U.V 11.N.c 11.T.C 11.A.V	1.5 1.1 1.75 0.8	0	34
572	31	aṇḍá	None	None	Kashmiri	497	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	38
