#
COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT


0	ahám	ahám	ɐɦɐm	Sanskrit
0	ahám	ahaṃ	ˌɑˈhɑṃ	Pali
0	ahám	ma͠i	mɛː	Hindi
0	ahám	ma͠i	mɛː	Urdu
0	ahám	ma	mə	Nepali
0	ahám	ham	ˈhəm	Bhojpuri
0	ahám	maĩ	mɛː	Punjabi
0	ahám	āū̃,	ɑːũː	Sindhi
0	ahám	hũ	hũː	Gujarati
0	ahám	mī,	mi	Marathi
0	ahám	hā̃v	ɦɑːʋ	Konkani
0	ahám	moi	mɔɪ	Assamese
0	ahám	ami	ami	Bengali
0	ahám	mum̐	mũ	Oriya
0	ahám	bụ	bɨ	Kashmiri
0	ahám	mama,	ˈmɑmə	Sinhalese
0	ahám	aharen̊‎,	əhəɾen	Dhivehi
0	ahám	me	miː	Romani
1	tvám	tvám	tʋɐm	Sanskrit
1	tvám	tvaṃ	tʋɐṃ	Pali
1	tvám	tū*,	tuː	Hindi
1	tvám	tū*,	toː	Urdu
1	tvám	tã,	tʌ	Nepali
1	tvám	te,	tɐj	Bhojpuri
1	tvám	tū̃*,	tũː	Punjabi
1	tvám	tū̃	tun	Sindhi
1	tvám	tũ*,	tuː	Gujarati
1	tvám	tū*,	tuː	Marathi
1	tvám	tū	tuː	Konkani
1	tvám	toi*,	tɔɪ	Assamese
1	tvám	tumi,	tumi	Bengali
1	tvám	tu,	tu	Oriya
1	tvám	ċụ	tsɨ	Kashmiri
1	tvám	oyā*,	ɔɪā	Sinhalese
1	tvám	kalē,	kælē	Dhivehi
1	tvám	tu	ˈtu	Romani
2	sá	sá	sə	Sanskrit
2	sá	so,	səʊ	Pali
2	sá	yah*,	jəɦ	Hindi
2	sá	yeh*,	jeː	Urdu
2	sá	ū,	uː	Nepali
2	sá	uh	ʌ	Bhojpuri
2	sá	iha*,	eː1	Punjabi
2	sá	hī*,	hija	Sindhi
2	sá	te	te	Gujarati
2	sá	hā*,	eɪʧā	Marathi
2	sá	vho,	vho	Konkani
2	sá	xi,	xi	Assamese
2	sá	śe	ˈʃe	Bengali
2	sá	se	se	Oriya
2	sá	huh*,	hʌ	Kashmiri
2	sá	eyā*,	eyā	Sinhalese
2	sá	ēnā‎*,	eːnəː	Dhivehi
2	sá	ov*,	ov	Romani
3	vayám,	vayám,	ʋɐjɐm	Sanskrit
3	vayám,	amhe,	amhe	Pali
3	vayám,	ham	ɦəm	Hindi
3	vayám,	ham	ɦəm	Urdu
3	vayám,	hāmī,	ɦämi	Nepali
3	vayám,	hamnī	hamnī	Bhojpuri
3	vayám,	asī̃	æzī̃	Punjabi
3	vayám,	asī̃,	æzī̃	Sindhi
3	vayám,	ame	eɪm	Gujarati
3	vayám,	āmhī*,	amʱi	Marathi
3	vayám,	āmhī	amʱi	Konkani
3	vayám,	ami	ami	Assamese
3	vayám,	amra	amra	Bengali
3	vayám,	ame	eɪm	Oriya
3	vayám,	ạs'	əsʲ	Kashmiri
3	vayám,	api	api	Sinhalese
3	vayám,	aharemen̊,	əhəɾemen	Dhivehi
3	vayám,	amen	eɪˈmɛn	Romani
