# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	INFOMAPID	INFERRED_CLASS
#
3601	200	None	None	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	7	None:7
3602	200	None	None	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	6	None:6
3603	200	None	pe,	peː	Hindi	p eː	1 7	AX	PE	6	6.P.C 6.E.V	2.0 1.5	0	2	None:2
3604	200	None	pe,	piː	Urdu	p iː	1 7	AX	PI	18	18.P.C 18.I.V	2.0 1.5	0	3	None:3
3605	200	None	mā	mä	Nepali	m ä	4 7	AX	MA	10	10.M.C 10.A.V	2.0 1.5	0	2	None:2
3606	200	None	par	pəɾ	Bhojpuri	p ə ɾ	1 7 5	AXN	PER	3	3.P.C 3.E.V 3.R.c	2.0 1.5 0.8	0	3	None:3
3607	200	None	utte,	utte	Punjabi	u tt e	7 1 7	XBZ	YTE	13	13.Y.V 13.T.C 13.E.V	1.5 1.75 0.8	0	1	None:1
3608	200	None	te	te	Sindhi	t e	1 7	AX	TE	16	16.T.C 16.E.V	2.0 1.5	0	1	None:1
3609	200	None	e	e	Gujarati	e	7	X	E	5	5.E.V	1.5	0	2	None:2
3610	200	None	None	None	Marathi	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3611	200	None	cer	cer	Konkani	c e r	1 7 5	AXN	CER	8	8.C.C 8.E.V 8.R.c	2.0 1.5 0.8	0	3	None:3
3612	200	None	-t	ɔt	Assamese	ɔ t	7 1	XN	UT	1	1.U.V 1.T.c	1.5 0.8	0	1	None:1
3613	200	None	-e	ɛ	Bengali	ɛ	7	X	E	2	2.E.V	1.5	1	2	None:2
3614	200	None	re	re	Oriya	r e	5 7	AX	RE	11	11.R.C 11.E.V	2.0 1.5	0	3	None:3
3615	200	None	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3616	200	None	None	None	Sinhalese	N o n e	0 7 4 7	AXBZ	0UNE	17	17.0.C 17.U.V 17.N.C 17.E.V	2.0 1.5 1.75 0.8	1	8	None:8
3617	200	None	gai-*	gai	Dhivehi	g ai	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	0	4	None:4
3618	200	None	kaj	kɑːdʒ	Romani	k ɑː d ʒ	1 7 1 3	AXBC	KATS	14	14.K.C 14.A.V 14.T.C 14.S.C	2.0 1.5 1.75 1.5	1	4	None:4
3619	201	None	None	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	7	None:7
3620	201	None	antara	anˈtara	Pali	a n ˈt a r a	7 4 1 7 5 7	XMBYBZ	ANTARA	12	12.A.V 12.N.c 12.T.C 12.A.V 12.R.C 12.A.V	1.5 1.1 1.75 1.3 1.75 0.8	0	3	None:3
3621	201	None	mẽ,	mẽː	Hindi	m ẽː	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	2	None:2
3622	201	None	mẽ,	mɛː	Urdu	m ɛː	4 7	AX	ME	18	18.M.C 18.E.V	2.0 1.5	1	2	None:2
3623	201	None	mā,	mä	Nepali	m ä	4 7	AX	MA	10	10.M.C 10.A.V	2.0 1.5	1	2	None:2
3624	201	None	mẽ	mẽː	Bhojpuri	m ẽː	4 7	AX	ME	3	3.M.C 3.E.V	2.0 1.5	0	2	None:2
3625	201	None	vicca	ʋɪttʃɪ	Punjabi	ʋ ɪ tt ʃ ɪ	6 7 1 3 7	AXBCZ	WITSI	13	13.W.C 13.I.V 13.T.C 13.S.C 13.I.V	2.0 1.5 1.75 1.5 0.8	0	4	None:4
3626	201	None	mẽ	mɛː	Sindhi	m ɛː	4 7	AX	ME	16	16.M.C 16.E.V	2.0 1.5	0	2	None:2
3627	201	None	andar	andar	Gujarati	a n d a r	7 4 1 7 5	XMBYN	ANTAR	5	5.A.V 5.N.c 5.T.C 5.A.V 5.R.c	1.5 1.1 1.75 1.3 0.8	0	3	None:3
3628	201	None	madhye,	mədʱje	Marathi	m ə dʱ j e	4 7 1 6 7	AXBCZ	METJE	9	9.M.C 9.E.V 9.T.C 9.J.C 9.E.V	2.0 1.5 1.75 1.5 0.8	0	2	None:2
