# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	EDITID	INFERRED_CLASS
#
3601	200	None	None	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3602	200	None	None	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3603	200	None	pe,	peː	Hindi	p eː	1 7	AX	PE	6	6.P.C 6.E.V	2.0 1.5	0	3	None:3
3604	200	None	pe,	piː	Urdu	p iː	1 7	AX	PI	18	18.P.C 18.I.V	2.0 1.5	0	3	None:3
3605	200	None	mā	mä	Nepali	m ä	4 7	AX	MA	10	10.M.C 10.A.V	2.0 1.5	0	10	None:10
3606	200	None	par	pəɾ	Bhojpuri	p ə ɾ	1 7 5	AXN	PER	3	3.P.C 3.E.V 3.R.c	2.0 1.5 0.8	0	3	None:3
3607	200	None	utte,	utte	Punjabi	u tt e	7 1 7	XBZ	YTE	13	13.Y.V 13.T.C 13.E.V	1.5 1.75 0.8	0	5	None:5
3608	200	None	te	te	Sindhi	t e	1 7	AX	TE	16	16.T.C 16.E.V	2.0 1.5	0	5	None:5
3609	200	None	e	e	Gujarati	e	7	X	E	5	5.E.V	1.5	0	5	None:5
3610	200	None	None	None	Marathi	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3611	200	None	cer	cer	Konkani	c e r	1 7 5	AXN	CER	8	8.C.C 8.E.V 8.R.c	2.0 1.5 0.8	0	8	None:8
3612	200	None	-t	ɔt	Assamese	ɔ t	7 1	XN	UT	1	1.U.V 1.T.c	1.5 0.8	0	1	None:1
3613	200	None	-e	ɛ	Bengali	ɛ	7	X	E	2	2.E.V	1.5	1	2	None:2
3614	200	None	re	re	Oriya	r e	5 7	AX	RE	11	11.R.C 11.E.V	2.0 1.5	0	5	None:5
3615	200	None	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3616	200	None	None	None	Sinhalese	N o n e	0 7 4 7	AXBZ	0UNE	17	17.0.C 17.U.V 17.N.C 17.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3617	200	None	gai-*	gai	Dhivehi	g ai	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	0	4	None:4
3618	200	None	kaj	kɑːdʒ	Romani	k ɑː d ʒ	1 7 1 3	AXBC	KATS	14	14.K.C 14.A.V 14.T.C 14.S.C	2.0 1.5 1.75 1.5	1	14	None:14
3619	201	None	None	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3620	201	None	antara	anˈtara	Pali	a n ˈt a r a	7 4 1 7 5 7	XMBYBZ	ANTARA	12	12.A.V 12.N.c 12.T.C 12.A.V 12.R.C 12.A.V	1.5 1.1 1.75 1.3 1.75 0.8	0	23	None:23
3621	201	None	mẽ,	mẽː	Hindi	m ẽː	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	10	None:10
3622	201	None	mẽ,	mɛː	Urdu	m ɛː	4 7	AX	ME	18	18.M.C 18.E.V	2.0 1.5	1	10	None:10
3623	201	None	mā,	mä	Nepali	m ä	4 7	AX	MA	10	10.M.C 10.A.V	2.0 1.5	1	10	None:10
3624	201	None	mẽ	mẽː	Bhojpuri	m ẽː	4 7	AX	ME	3	3.M.C 3.E.V	2.0 1.5	0	10	None:10
3625	201	None	vicca	ʋɪttʃɪ	Punjabi	ʋ ɪ tt ʃ ɪ	6 7 1 3 7	AXBCZ	WITSI	13	13.W.C 13.I.V 13.T.C 13.S.C 13.I.V	2.0 1.5 1.75 1.5 0.8	0	31	None:31
3626	201	None	mẽ	mɛː	Sindhi	m ɛː	4 7	AX	ME	16	16.M.C 16.E.V	2.0 1.5	0	10	None:10
3627	201	None	andar	andar	Gujarati	a n d a r	7 4 1 7 5	XMBYN	ANTAR	5	5.A.V 5.N.c 5.T.C 5.A.V 5.R.c	1.5 1.1 1.75 1.3 0.8	0	23	None:23
3628	201	None	madhye,	mədʱje	Marathi	m ə dʱ j e	4 7 1 6 7	AXBCZ	METJE	9	9.M.C 9.E.V 9.T.C 9.J.C 9.E.V	2.0 1.5 1.75 1.5 0.8	0	27	None:27
3629	201	None	bhitar	bhitar	Konkani	b h i t a r	1 3 7 1 7 5	ACXBYN	PHITAR	8	8.P.C 8.H.C 8.I.V 8.T.C 8.A.V 8.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	23	None:23
3630	201	None	-t	ɔt	Assamese	ɔ t	7 1	XN	UT	1	1.U.V 1.T.c	1.5 0.8	1	1	None:1
3631	201	None	-e	ɛ	Bengali	ɛ	7	X	E	2	2.E.V	1.5	1	2	None:2
3632	201	None	bhitôre	None	Oriya	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3633	201	None	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3634	201	None	tuḷa	tuḷa	Sinhalese	t u ḷ a	1 7 5 7	AXBZ	TYLA	17	17.T.C 17.Y.V 17.L.C 17.A.V	2.0 1.5 1.75 0.8	0	35	None:35
3635	201	None	źerey	źerey	Dhivehi	ź e r ey	0 7 5 7	AXBZ	0ERE	4	4.0.C 4.E.V 4.R.C 4.E.V	2.0 1.5 1.75 0.8	0	8	None:8
3636	201	None	anθ-	ænθ	Romani	æ n θ	7 4 3	XLN	END	14	14.E.V 14.N.c 14.D.c	1.5 1.1 0.8	0	32	None:32
#
2989	166	agní	agní	əɡniː	Sanskrit	ə ɡ n iː	7 1 4 7	XBCZ	EKNI	15	15.E.V 15.K.C 15.N.C 15.I.V	1.5 1.75 1.5 0.8	0	37	agní:37
2990	166	agní	aggi	əɡgi:	Pali	ə ɡ g i:	7 1 1 7	XMBZ	EKKI	12	12.E.V 12.K.c 12.K.C 12.I.V	1.5 1.1 1.75 0.8	0	37	agní:37
2991	166	agní	āg	ɑːɡ	Hindi	ɑː ɡ	7 1	XN	AK	6	6.A.V 6.K.c	1.5 0.8	0	37	agní:37
2992	166	agní	āg	ɑːɡ	Urdu	ɑː ɡ	7 1	XN	AK	18	18.A.V 18.K.c	1.5 0.8	0	37	agní:37
2993	166	agní	āgo	äɡo	Nepali	ä ɡ o	7 1 7	XBZ	AKU	10	10.A.V 10.K.C 10.U.V	1.5 1.75 0.8	0	37	agní:37
2994	166	agní	āg	ɑːɡ	Bhojpuri	ɑː ɡ	7 1	XN	AK	3	3.A.V 3.K.c	1.5 0.8	0	37	agní:37
2995	166	agní	agga	əɡgɑː	Punjabi	ə ɡ g ɑː	7 1 1 7	XMBZ	EKKA	13	13.E.V 13.K.c 13.K.C 13.A.V	1.5 1.1 1.75 0.8	0	37	agní:37
2996	166	agní	bāhi	bɑːʱi	Sindhi	b ɑːʱi	1 7	AX	PA	16	16.P.C 16.A.V	2.0 1.5	0	51	agní:51
2997	166	agní	āga	ɑːɡa	Gujarati	ɑː ɡ a	7 1 7	XBZ	AKA	5	5.A.V 5.K.C 5.A.V	1.5 1.75 0.8	0	37	agní:37
2998	166	agní	āg	ɑːɡ	Marathi	ɑː ɡ	7 1	XN	AK	9	9.A.V 9.K.c	1.5 0.8	0	37	agní:37
2999	166	agní	ujo	uːzɔː	Konkani	uː z ɔː	7 3 7	XBZ	YSU	8	8.Y.V 8.S.C 8.U.V	1.5 1.75 0.8	0	36	agní:36
